Source,UserName,ReviweDate,Reviewtext,Helpfulcount,Nonhelpfulcount,Rating
IMDB,hitchcockthelegend,24-Jul-10,Some birds aren't meant to be caged.,1.2K,99,10/(10)
IMDB,Sleepin_Dragon,17-Feb-21,An incredible movie. One that lives with you.,489,41,10/(10)
IMDB,EyeDunno,21-Nov-05,Don't Rent Shawshank.,1.1K,124,10/(10)
IMDB,kaspen12,10-Feb-06,A classic piece of unforgettable film-making.,1.3K,173,10/(10)
IMDB,alexkolokotronis,18-Feb-08,This is How Movies Should Be Made,1K,137,10/(10)
IMDB,speedreid,8-Feb-01,Prepare to be moved,1.6K,248,Prepare to be moved
IMDB,weswalker,27-Aug-02,Shawshank Redeems Hollywood,1.8K,290,10/(10)
IMDB,nowego,15-Jun-18,Eternal Hope,240,34,10/(10)
IMDB,auuwws,8-Oct-20,the shawshank redemption,188,26,10/(10)
IMDB,gavin6942,6-Nov-14,IMDb and the Greatest Film of All Time,132,18,10/(10)
IMDB,Coxer99,25-Mar-99,The Shawshank Redemption,939,182,10/(10)
IMDB,baumer,13-Jul-99,Stephen King's best adapted movie,852,171,10/(10)
IMDB,mocpacific,3-Jun-10,Mystery,146,174,7/(10)
IMDB,nikitalinivenko,23-Oct-19,I don't hate this movie - I hate the Fan-base,7,5,5/(10)
IMDB,TheLittleSongbird,17-Apr-09,"Enthralling, fantastic, intriguing, truly remarkable!",186,34,10/(10)
IMDB,Douglas-2,16-Aug-98,Two movies in one,1K,243,Two movies in one
IMDB,schnad,6-Feb-99,"Simply known as ""The Movie""",639,148,10/(10)
IMDB,0U,23-Feb-20,My favorite movie of all time.,157,32,10/(10)
IMDB,reismark,6-Sep-00,Simply amazing. The best film of the 90's.,607,172,10/(10)
IMDB,KORN-6,21-Oct-98,The absolute GREATEST movie of all time.,129,31,10/(10)
IMDB,Leofwine_draca,18-Dec-16,All-time prison film classic,62,12,10/(10)
IMDB,classicsoncall,30-Jul-11,"""I'm a convicted murderer who provides sound financial planning"".",53,12,10/(10)
IMDB,DrJoTab,12-Apr-99,"Good movie, but best of all time? Hardly . . .",171,213,7/(10)
IMDB,v_goggo,23-Jul-03,Over rated,36,89,5/(10)
IMDB,hosodi-11867,23-Jul-23,A Timeless Tale of Hope and Resilience,14,1,10/(10)
IMDB,jiposek,23-Jul-23,Finding Beauty in the Shadows,9,0,10/(10)
IMDB,Si Cole,3-Aug-01,The best story ever told on film,946,380,8/(10)
IMDB,djhenebury-1,3-Jan-06,Hope is everything,8,0,10/(10)
IMDB,bhester0806,13-Nov-19,Simply the best,23,4,10/(10)
IMDB,hjpog,13-Dec-15,From my favorite movies..,65,19,10/(10)
